test_form,preds_form,preds_stems,test_stems,shapes
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾaponejs,tɾapon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponejs,tɾasponejs,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾaponemos,tɾapon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponemos,tɾasponemos,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾaponen,tɾapon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾasponen,tɾasponen,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
tɾaspones,tɾaspones,tɾaspon,tɾaspon,L
