lemma,correct,total,accuracy
e l i ç ˈi ɾ,660,660,100.0
i n t e ɾ p o n ˈe ɾ,660,660,100.0
e n k a ɾ e s ˈe ɾ,660,660,100.0
k o n f l i ç ˈi ɾ,660,660,100.0
f a ʃ e s ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
a d u s ˈi ɾ,660,660,100.0
d e s a s ˈi ɾ,440,440,100.0
d e s a s ˈe ɾ,220,220,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
l a n ɡ i d e s ˈe ɾ,660,660,100.0
o b s k u ɾ e s ˈe ɾ,660,660,100.0
k o m p u n ç ˈi ɾ,660,660,100.0
s u b ʃ a s ˈe ɾ,660,660,100.0
e n m u d e s ˈe ɾ,660,660,100.0
ɾ o b u s t e s ˈe ɾ,660,660,100.0
d e s k o m p o n ˈe ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
p e ɾ m a n e s ˈe ɾ,660,660,100.0
e n s o m b ɾ e s ˈe ɾ,660,660,100.0
ɾ e s t a b l e s ˈe ɾ,660,660,100.0
a p a ɾ e s ˈe ɾ,660,660,100.0
a r e s ˈi ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,659,660,99.85
m a n t e n ˈe ɾ,659,660,99.85
f l o ɾ e s ˈe ɾ,652,660,98.79
a m a n e s ˈe ɾ,647,660,98.03
e n b e x e s ˈe ɾ,638,660,96.67
k o n b e n s ˈe ɾ,565,660,85.61
m a l d e s ˈi ɾ,553,660,83.79
ɡ w a ɾ e s ˈe ɾ,327,660,49.55
e n o ɾ ɡ u ʃ e s ˈe ɾ,136,660,20.61
a k a e s ˈe ɾ,47,660,7.12
