lemma,correct,total,accuracy
k o m p u n ç ˈi ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
k o n f l i ç ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
e l i ç ˈi ɾ,659,660,99.85
ɾ e s t a b l e s ˈe ɾ,649,660,98.33
o b s k u ɾ e s ˈe ɾ,647,660,98.03
i n t e ɾ p o n ˈe ɾ,647,660,98.03
d e s a ɡ ɾ a d e s ˈe ɾ,647,660,98.03
f a ʃ e s ˈe ɾ,646,660,97.88
ɾ e d e s ˈi ɾ,646,660,97.88
d e s a s ˈi ɾ,429,440,97.5
e n m u d e s ˈe ɾ,642,660,97.27
m a n t e n ˈe ɾ,639,660,96.82
a p a ɾ e s ˈe ɾ,635,660,96.21
e n b e x e s ˈe ɾ,635,660,96.21
l a n ɡ i d e s ˈe ɾ,634,660,96.06
d e s k o m p o n ˈe ɾ,627,660,95.0
p e ɾ m a n e s ˈe ɾ,625,660,94.7
k o p ɾ o d u s ˈi ɾ,623,660,94.39
e n k a ɾ e s ˈe ɾ,618,660,93.64
e n s o m b ɾ e s ˈe ɾ,614,660,93.03
a r e s ˈi ɾ,613,660,92.88
ɾ o b u s t e s ˈe ɾ,603,660,91.36
a m a n e s ˈe ɾ,602,660,91.21
k o n b e n s ˈe ɾ,586,660,88.79
f l o ɾ e s ˈe ɾ,575,660,87.12
d e d u s ˈi ɾ,410,660,62.12
a d u s ˈi ɾ,396,660,60.0
e n o ɾ ɡ u ʃ e s ˈe ɾ,385,660,58.33
ɡ w a ɾ e s ˈe ɾ,366,660,55.45
s u b ʃ a s ˈe ɾ,286,660,43.33
m a l d e s ˈi ɾ,231,660,35.0
a k a e s ˈe ɾ,208,660,31.52
