lemma,correct,total,accuracy
o f ɾ e s ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
ɾ e p o n ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
s u ɾ s ˈi ɾ,660,660,100.0
i n t e ɾ b e n ˈi ɾ,660,660,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
a b o r e s ˈe ɾ,660,660,100.0
ɾ e a s ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
a d o ɾ m e s ˈe ɾ,660,660,100.0
d e s o b e d e s ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
a n t e d e s ˈi ɾ,660,660,100.0
d i ɾ i ç ˈi ɾ,660,660,100.0
d e s b a n e s ˈe ɾ,660,660,100.0
t ɾ a s p o n ˈe ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
e n k a ʃ e s ˈe ɾ,660,660,100.0
e d u s ˈi ɾ,660,660,100.0
a d ʃ a s ˈe ɾ,660,660,100.0
o p o n ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
a p o n ˈe ɾ,660,660,100.0
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
p ɾ e d e s ˈi ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
p ɾ e b e n ˈi ɾ,660,660,100.0
d e ɾ e l i n k ˈi ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
e n l o k e s ˈe ɾ,660,660,100.0
f ɾ a n ç ˈi ɾ,660,660,100.0
e k s t ɾ a ˈe ɾ,660,660,100.0
a t e n ˈe ɾ,660,660,100.0
e m p o b ɾ e s ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
ɾ e d i ɾ i ç ˈi ɾ,660,660,100.0
o b t e n ˈe ɾ,660,660,100.0
e m u n ç ˈe ɾ,660,660,100.0
ɾ e d e s ˈi ɾ,659,660,99.85
e n b i l e s ˈe ɾ,658,660,99.7
e k i b a l ˈe ɾ,653,660,98.94
l a n ɡ i d e s ˈe ɾ,643,660,97.42
s u b s t ɾ a ˈe ɾ,639,660,96.82
d e s t o ɾ s ˈe ɾ,615,660,93.18
a p e t e s ˈe ɾ,557,660,84.39
e s k o s ˈe ɾ,554,660,83.94
s o s t e n ˈe ɾ,552,660,83.64
e l i ç ˈi ɾ,550,660,83.33
i n t e l i ç ˈi ɾ,550,660,83.33
e ɾ i ç ˈi ɾ,512,660,77.58
ʃ u k s t a p o n ˈe ɾ,413,660,62.58
ɾ e t ɾ o t ɾ a ˈe ɾ,390,660,59.09
e x e ɾ s ˈe ɾ,340,660,51.52
u ɾ ç ˈi ɾ,304,660,46.06
s o b ɾ e s a l ˈi ɾ,155,660,23.48
d e s a s ˈi ɾ,55,440,12.5
a t a ɾ d e s ˈe ɾ,0,660,0.0
