lemma,correct,total,accuracy
e l i ç ˈi ɾ,660,660,100.0
d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
k o n f l i ç ˈi ɾ,660,660,100.0
f a ʃ e s ˈe ɾ,660,660,100.0
a d u s ˈi ɾ,660,660,100.0
d e s a s ˈi ɾ,440,440,100.0
d e s a s ˈe ɾ,220,220,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
ɾ o b u s t e s ˈe ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
i n t e ɾ p o n ˈe ɾ,656,660,99.39
k o m p u n ç ˈi ɾ,655,660,99.24
e n s o m b ɾ e s ˈe ɾ,645,660,97.73
o b s k u ɾ e s ˈe ɾ,645,660,97.73
s u b ʃ a s ˈe ɾ,642,660,97.27
e n k a ɾ e s ˈe ɾ,640,660,96.97
l a n ɡ i d e s ˈe ɾ,640,660,96.97
e n m u d e s ˈe ɾ,622,660,94.24
m a l d e s ˈi ɾ,611,660,92.58
e n b e x e s ˈe ɾ,610,660,92.42
ɾ e s t a b l e s ˈe ɾ,605,660,91.67
a p a ɾ e s ˈe ɾ,592,660,89.7
p e ɾ m a n e s ˈe ɾ,586,660,88.79
a r e s ˈi ɾ,565,660,85.61
f l o ɾ e s ˈe ɾ,562,660,85.15
ɾ e d e s ˈi ɾ,561,660,85.0
m a n t e n ˈe ɾ,558,660,84.55
d e d u s ˈi ɾ,500,660,75.76
d e s k o m p o n ˈe ɾ,454,660,68.79
a m a n e s ˈe ɾ,431,660,65.3
k o n b e n s ˈe ɾ,256,660,38.79
ɡ w a ɾ e s ˈe ɾ,147,660,22.27
a k a e s ˈe ɾ,139,660,21.06
e n o ɾ ɡ u ʃ e s ˈe ɾ,118,660,17.88
