lemma,correct,total,accuracy
t ɾ a s p o n ˈe ɾ,660,660,100.0
ɾ e k ɾ u d e s ˈe ɾ,660,660,100.0
k o m p o n ˈe ɾ,660,660,100.0
e n a ɾ d e s ˈe ɾ,660,660,100.0
i n d u s ˈi ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
a b e n ˈi ɾ,660,660,100.0
e n n e ɡ ɾ e s ˈe ɾ,660,660,100.0
k o ç ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
ɾ e f u l ç ˈi ɾ,660,660,100.0
e n f u ɾ e s ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
e n b a n e s ˈe ɾ,660,660,100.0
p u n ç ˈi ɾ,660,660,100.0
ɾ e k o m p o n ˈe ɾ,660,660,100.0
m u l s ˈe ɾ,660,660,100.0
p ɾ o p o n ˈe ɾ,660,660,100.0
p ɾ o b e n ˈi ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
ɾ e k o ç ˈe ɾ,660,660,100.0
a b s t ɾ a ˈe ɾ,660,660,100.0
d e s b a n e s ˈe ɾ,660,660,100.0
e m e ɾ ç ˈe ɾ,660,660,100.0
k o n o s ˈe ɾ,660,660,100.0
k o n t e n ˈe ɾ,660,660,100.0
l u s ˈi ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
u n s ˈi ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
d e s k o s ˈe ɾ,275,275,100.0
ɡ w a ɾ e s ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
k o l e ç ˈi ɾ,660,660,100.0
m a l d e s ˈi ɾ,660,660,100.0
p a l i d e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
e n ɾ i k e s ˈe ɾ,660,660,100.0
d e s l u s ˈi ɾ,660,660,100.0
a t a ɾ d e s ˈe ɾ,659,660,99.85
a f l i ç ˈi ɾ,659,660,99.85
a s t ɾ i n ç ˈi ɾ,655,660,99.24
s a l ˈi ɾ,651,660,98.64
s i ɾ k u n b e n ˈi ɾ,648,660,98.18
b a l ˈe ɾ,644,660,97.58
e l i ç ˈi ɾ,550,660,83.33
ɾ e s t ɾ i n ç ˈi ɾ,545,660,82.58
e n s e ɡ e s ˈe ɾ,493,660,74.7
k o n t ɾ a d e s ˈi ɾ,468,660,70.91
e n m o e s ˈe ɾ,423,660,64.09
s o b ɾ e k o ç ˈe ɾ,385,660,58.33
k o r e ç ˈi ɾ,380,660,57.58
d e s f a b o ɾ e s ˈe ɾ,189,660,28.64
a d ʃ a s ˈe ɾ,83,660,12.58
x a k ˈi ɾ,83,660,12.58
d e s a ɡ ɾ a d e s ˈe ɾ,0,660,0.0
k o n b e n s ˈe ɾ,0,660,0.0
