lemma,correct,total,accuracy
o f ɾ e s ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
s u ɾ s ˈi ɾ,660,660,100.0
i n t e ɾ b e n ˈi ɾ,660,660,100.0
k o p ɾ o d u s ˈi ɾ,660,660,100.0
d e s a s ˈe ɾ,220,220,100.0
a t a ɾ d e s ˈe ɾ,660,660,100.0
d e s a p a ɾ e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
a d o ɾ m e s ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
a n t e d e s ˈi ɾ,660,660,100.0
d i ɾ i ç ˈi ɾ,660,660,100.0
e n b i l e s ˈe ɾ,660,660,100.0
d e s b a n e s ˈe ɾ,660,660,100.0
t ɾ a s p o n ˈe ɾ,660,660,100.0
d e b e n ˈi ɾ,660,660,100.0
e n k a ʃ e s ˈe ɾ,660,660,100.0
e d u s ˈi ɾ,660,660,100.0
a d ʃ a s ˈe ɾ,660,660,100.0
o p o n ˈe ɾ,660,660,100.0
ɾ e p o n ˈe ɾ,660,660,100.0
a p o n ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
f ɾ a n ç ˈi ɾ,660,660,100.0
p ɾ e b e n ˈi ɾ,660,660,100.0
e m u n ç ˈe ɾ,660,660,100.0
ɾ e d i ɾ i ç ˈi ɾ,660,660,100.0
e m p o b ɾ e s ˈe ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
a t e n ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
d e ɾ e l i n k ˈi ɾ,660,660,100.0
e n l o k e s ˈe ɾ,657,660,99.55
s o s t e n ˈe ɾ,657,660,99.55
d e s o b e d e s ˈe ɾ,655,660,99.24
u ɾ ç ˈi ɾ,643,660,97.42
ɾ e d e s ˈi ɾ,626,660,94.85
e x e ɾ s ˈe ɾ,617,660,93.48
p ɾ e d e s ˈi ɾ,596,660,90.3
a b o r e s ˈe ɾ,583,660,88.33
ʃ u k s t a p o n ˈe ɾ,578,660,87.58
d e s t o ɾ s ˈe ɾ,572,660,86.67
l a n ɡ i d e s ˈe ɾ,560,660,84.85
e ɾ i ç ˈi ɾ,560,660,84.85
e l i ç ˈi ɾ,550,660,83.33
e k i b a l ˈe ɾ,535,660,81.06
e s k o s ˈe ɾ,476,660,72.12
o b t e n ˈe ɾ,442,660,66.97
s u b s t ɾ a ˈe ɾ,406,660,61.52
i n t e l i ç ˈi ɾ,353,660,53.48
a p e t e s ˈe ɾ,273,660,41.36
e k s t ɾ a ˈe ɾ,252,660,38.18
ɾ e a s ˈe ɾ,230,660,34.85
d e s a s ˈi ɾ,55,440,12.5
ɾ e t ɾ o t ɾ a ˈe ɾ,17,660,2.58
s o b ɾ e s a l ˈi ɾ,4,660,0.61
